Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C++, fannkuch-redux, -1,  128.12, 79.32, 78.26, 0.00, 1.78, 3524, 13990, 0, 44.0, , 1
C++, fannkuch-redux, -1,  128.30, 79.15, 78.09, 0.00, 1.78, 3525, 13991, 0, 44.5, , 1
C++, fannkuch-redux, -1,  128.29, 79.15, 78.09, 0.00, 1.78, 3527, 13996, 1, 44.5, , 1
C++, fannkuch-redux, -1,  129.70, 79.78, 78.71, 0.00, 1.80, 3553, 14001, 8, 44.0, , 1
C++, fannkuch-redux, -1,  128.77, 79.22, 78.16, 0.00, 1.78, 3529, 13993, 3, 44.5, , 1
C++, fannkuch-redux, -1,  128.28, 79.34, 78.27, 0.00, 1.78, 3527, 13995, 13995, 45.0, , 1
C++, fannkuch-redux, -1,  127.95, 79.23, 78.17, 0.00, 1.78, 3526, 13996, 13996, 44.2, , 1
C++, fannkuch-redux, -1,  128.02, 79.17, 78.11, 0.00, 1.78, 3526, 13995, 0, 44.8, , 1
C++, fannkuch-redux, -1,  128.14, 79.12, 78.06, 0.00, 1.78, 3526, 13996, 1, 44.8, , 1
C++, fasta, -1,  16.54, 7.81, 7.61, 0.00, 0.33, 659, 1302, 8, 38.8, , 1
C++, fasta, -1,  16.62, 7.85, 7.65, 0.00, 0.33, 659, 1302, 9, 42.8, , 1
C++, fasta, -1,  16.50, 7.82, 7.62, 0.00, 0.33, 658, 1304, 6, 38.2, , 1
C++, fasta, -1,  16.61, 7.83, 7.63, 0.00, 0.33, 658, 1307, 3, 42.5, , 1
C++, fasta, -1,  16.43, 7.83, 7.63, 0.00, 0.33, 659, 1305, 5, 38.8, , 1
C++, fasta, -1,  16.41, 7.89, 7.70, 0.00, 0.33, 659, 1306, 5, 41.8, , 1
C++, fasta, -1,  16.40, 7.82, 7.63, 0.00, 0.33, 659, 1304, 7, 38.8, , 1
C++, fasta, -1,  16.49, 7.82, 7.62, 0.00, 0.33, 659, 1309, 3, 42.0, , 1
C++, fasta, -1,  16.49, 7.79, 7.59, 0.00, 0.33, 658, 1306, 5, 38.8, , 1
C++, fasta, -1,  16.54, 7.83, 7.63, 0.00, 0.33, 658, 1307, 3, 42.8, , 1
C++, fasta, -1,  16.53, 7.80, 7.60, 0.00, 0.33, 659, 1305, 7, 38.2, , 1
C++, fasta, -1,  16.60, 7.83, 7.63, 0.00, 0.33, 658, 1307, 4, 42.0, , 1
C++, fasta, -1,  16.51, 7.85, 7.65, 0.00, 0.33, 659, 1305, 7, 38.5, , 1
C++, fasta, -1,  16.49, 7.80, 7.61, 0.00, 0.33, 658, 1303, 7, 42.0, , 1
C++, fasta, -1,  16.48, 7.81, 7.61, 0.00, 0.33, 658, 1303, 7, 38.5, , 1
C++, fasta, -1,  16.48, 7.84, 7.65, 0.00, 0.33, 660, 1305, 7, 41.8, , 1
C++, fasta, -1,  16.36, 7.77, 7.57, 0.00, 0.33, 658, 1308, 2, 38.0, , 1
C++, fasta, -1,  16.39, 7.81, 7.61, 0.00, 0.33, 659, 1307, 3, 42.2, , 1
C++, fasta, -1,  16.40, 7.79, 7.58, 0.00, 0.33, 659, 1305, 6, 38.2, , 1
C++, fasta, -1,  16.47, 7.82, 7.62, 0.00, 0.33, 658, 1307, 4, 41.8, , 1
C++, k-nucleotide, -1,  70.32, 37.44, 36.36, 0.00, 3.84, 2119, 6646, 143, 42.8, , 1
C++, k-nucleotide, -1,  70.02, 37.24, 36.17, 0.00, 3.82, 2080, 6607, 152, 42.5, , 1
